name,year,duration,genre,movie_url
Catch Me If You Can,2002,2h 21min,"Biography,Crime,Drama",https://www.imdb.com/title/tt0264464/
Finding Nemo,2003,1h 40min,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt0266543/
Spotlight,2015,2h 9min,"Biography,Crime,Drama",https://www.imdb.com/title/tt1895587/
Ford v. Ferrari,2019,2h 32min,"Action,Biography,Drama",https://www.imdb.com/title/tt1950186/
Rush,2013,2h 3min,"Action,Biography,Drama",https://www.imdb.com/title/tt1979320/
Room,2015,1h 58min,"Drama,Thriller",https://www.imdb.com/title/tt3170832/
12 Years a Slave,2013,2h 14min,"Biography,Drama,History",https://www.imdb.com/title/tt2024544/
Inside Out,2015,1h 35min,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt2096673/
Gone Girl,2014,2h 29min,"Drama,Mystery,Thriller",https://www.imdb.com/title/tt2267998/
The Grand Budapest Hotel,2014,1h 39min,"Adventure,Comedy,Crime",https://www.imdb.com/title/tt2278388/
Relatos Salvajes,2014,2h 2min,"Comedy,Drama,Thriller",https://www.imdb.com/title/tt3011894/
Hacksaw Ridge,2016,2h 19min,"Biography,Drama,History",https://www.imdb.com/title/tt2119532/
Logan,2017,2h 17min,"Action,Drama,Sci-Fi",https://www.imdb.com/title/tt3315342/
Sherlock Jr.,1924,45min,"Action,Comedy,Romance",https://www.imdb.com/title/tt0015324/
Ah-ga-ssi,2016,2h 25min,"Drama,Romance,Thriller",https://www.imdb.com/title/tt4016934/
"Three Billboards Outside Ebbing, Missouri",2017,1h 55min,"Comedy,Crime,Drama",https://www.imdb.com/title/tt5027774/
To Be or Not to Be,1942,1h 39min,"Comedy,Romance,War",https://www.imdb.com/title/tt0035446/
The Gold Rush,1925,1h 35min,"Adventure,Comedy,Drama",https://www.imdb.com/title/tt0015864/
The Treasure of the Sierra Madre,1948,2h 6min,"Adventure,Drama,Western",https://www.imdb.com/title/tt0040897/
Rashōmon,1950,1h 28min,"Crime,Drama,Mystery",https://www.imdb.com/title/tt0042876/
All About Eve,1950,2h 18min,Drama,https://www.imdb.com/title/tt0042192/
Tôkyô monogatari,1953,2h 16min,Drama,https://www.imdb.com/title/tt0046438/
Dial M for Murder,1954,1h 45min,"Crime,Thriller",https://www.imdb.com/title/tt0046912/
Det Sjunde Inseglet,1957,1h 36min,"Drama,Fantasy,History",https://www.imdb.com/title/tt0050976/
Chinatown,1974,2h 10min,"Drama,Mystery,Thriller",https://www.imdb.com/title/tt0071315/
Some Like It Hot,1959,2h 1min,"Comedy,Music,Romance",https://www.imdb.com/title/tt0053291/
Smultronstället,1957,1h 31min,"Drama,Romance",https://www.imdb.com/title/tt0050986/
Judgment at Nuremberg,1961,2h 59min,"Drama,War",https://www.imdb.com/title/tt0055031/
Yôjinbô,1961,1h 50min,"Action,Drama,Thriller",https://www.imdb.com/title/tt0055630/
The Great Escape,1963,2h 52min,"Adventure,Drama,History",https://www.imdb.com/title/tt0057115/
Per qualche dollaro in più,1965,2h 12min,Western,https://www.imdb.com/title/tt0059578/
Monty Python and the Holy Grail,1975,1h 31min,"Adventure,Comedy,Fantasy",https://www.imdb.com/title/tt0071853/
Höstsonaten,1978,1h 39min,"Drama,Music",https://www.imdb.com/title/tt0077711/
Raging Bull,1980,2h 9min,"Biography,Drama,Sport",https://www.imdb.com/title/tt0081398/
Taxi Driver,1976,1h 54min,"Crime,Drama",https://www.imdb.com/title/tt0075314/
Ran,1985,2h 42min,"Action,Drama,War",https://www.imdb.com/title/tt0089881/
El Secreto De Sus Ojos,2009,2h 9min,"Drama,Mystery,Romance",https://www.imdb.com/title/tt1305806/
Gangs of Wasseypur,2012,5h 21min,"Action,Comedy,Crime",https://www.imdb.com/title/tt1954470/
Shutter Island,2010,2h 18min,"Mystery,Thriller",https://www.imdb.com/title/tt1130884/
Mandariinid,2013,1h 27min,"Drama,War",https://www.imdb.com/title/tt2991224/
Eiga Koe No Katachi,2016,2h 10min,"Animation,Drama",https://www.imdb.com/title/tt5323662/
Klaus,2019,1h 36min,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt4729430/
The Kid,1921,1h 8min,"Comedy,Drama,Family",https://www.imdb.com/title/tt0012349/
Green Book,2018,2h 10min,"Biography,Comedy,Drama",https://www.imdb.com/title/tt6966692/
Andhadhun,2018,2h 19min,"Crime,Drama,Music",https://www.imdb.com/title/tt8108198/
Metropolis,1927,2h 33min,"Drama,Sci-Fi",https://www.imdb.com/title/tt0017136/
M - Eine Stadt sucht einen Mörder,1931,1h 57min,"Crime,Mystery,Thriller",https://www.imdb.com/title/tt0022100/
Citizen Kane,1941,1h 59min,"Drama,Mystery",https://www.imdb.com/title/tt0033467/
Ladri Di Biciclette,1948,1h 29min,Drama,https://www.imdb.com/title/tt0040522/
Ikiru,1952,2h 23min,Drama,https://www.imdb.com/title/tt0044741/
North by Northwest,1959,2h 16min,"Adventure,Mystery,Thriller",https://www.imdb.com/title/tt0053125/
The Apartment,1960,2h 5min,"Comedy,Drama,Romance",https://www.imdb.com/title/tt0053604/
Vertigo,1958,2h 8min,"Mystery,Romance,Thriller",https://www.imdb.com/title/tt0052357/
Singin' in the Rain,1952,1h 43min,"Comedy,Musical,Romance",https://www.imdb.com/title/tt0045152/
Lawrence of Arabia,1962,3h 48min,"Adventure,Biography,Drama",https://www.imdb.com/title/tt0056172/
Double Indemnity,1944,1h 47min,"Crime,Drama,Film-Noir",https://www.imdb.com/title/tt0036775/
2001: A Space Odyssey,1968,2h 29min,"Adventure,Sci-Fi",https://www.imdb.com/title/tt0062622/
Z,1969,2h 7min,"Crime,Drama,History",https://www.imdb.com/title/tt0065234/
To Kill a Mockingbird,1962,2h 9min,"Crime,Drama",https://www.imdb.com/title/tt0056592/
A Clockwork Orange,1971,2h 16min,"Crime,Drama,Sci-Fi",https://www.imdb.com/title/tt0066921/
Das Boot,1981,,"Adventure,Drama,Thriller",https://www.imdb.com/title/tt0082096/
The Sting,1973,2h 9min,"Comedy,Crime,Drama",https://www.imdb.com/title/tt0070735/
Star Wars: Episode VI - Return of the Jedi,1983,2h 11min,"Action,Adventure,Fantasy",https://www.imdb.com/title/tt0086190/
Witness for the Prosecution,1957,1h 56min,"Crime,Drama,Mystery",https://www.imdb.com/title/tt0051201/
Scarface,1983,2h 50min,"Crime,Drama",https://www.imdb.com/title/tt0086250/
Amadeus,1984,2h 40min,"Biography,Drama,Music",https://www.imdb.com/title/tt0086879/
Paths of Glory,1957,1h 28min,"Drama,War",https://www.imdb.com/title/tt0050825/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35min,Comedy,https://www.imdb.com/title/tt0057012/
Alien,1979,1h 57min,"Horror,Sci-Fi",https://www.imdb.com/title/tt0078748/
